Address,Zip,List Price,Close Price,Subsidy,BRs,Bas,1/2 Bas,Close Date
402 PEABODY ST NE,20011," $334,000 "," $310,000 "," $20,275 ",3,2,0,11/22/2013
4808 7TH ST NW,20011," $459,000 "," $445,000 ", $-   ,3,1,2,11/18/2013
121 WEBSTER ST NW,20011," $548,000 "," $526,000 "," $4,000 ",4,2,0,11/1/2013
1441 ROCK CREEK FORD RD NW,20011," $699,900 "," $675,000 ", $-   ,4,3,1,11/5/2013
5314 7TH ST NW,20011," $319,900 "," $365,000 ", $-   ,3,1,1,11/15/2013
5005 3RD ST NW,20011," $499,900 "," $502,500 "," $4,000 ",3,3,0,11/8/2013
4333 3RD ST NW,20011," $514,888 "," $499,000 "," $4,886 ",4,2,0,11/25/2013
317 MADISON ST NW,20011," $685,000 "," $674,500 ", $-   ,4,3,1,11/7/2013
5410 KANSAS AVE NW,20011," $649,998 "," $650,000 ", $-   ,5,3,1,11/30/2013
830 JEFFERSON ST NE,20011," $299,000 "," $306,000 "," $6,120 ",3,1,1,11/12/2013
5112 3RD ST NW,20011," $499,500 "," $495,000 "," $15,000 ",4,3,1,11/26/2013
5812 5TH ST NW,20011," $519,000 "," $519,000 "," $10,000 ",4,3,1,11/20/2013
5503 13TH ST NW,20011," $499,500 "," $510,000 ", $-   ,4,3,1,11/8/2013
5511 2ND ST NW,20011," $524,900 "," $520,000 ", $-   ,4,3,1,11/21/2013
414 JEFFERSON ST NE,20011," $384,900 "," $377,000 "," $3,000 ",3,2,1,11/21/2013
810 DELAFIELD PL NW,20011," $300,000 "," $300,000 ", $-   ,3,1,0,11/30/2013
4020 17TH ST NW,20011," $825,000 "," $800,000 ", $-   ,4,2,2,11/21/2013
612 QUINCY ST NW,20011," $599,000 "," $599,000 "," $18,400 ",4,3,1,11/8/2013
5314 CHILLUM PL NE,20011," $299,000 "," $300,000 "," $9,000 ",3,1,1,11/16/2013
110 LONGFELLOW ST NW,20011," $525,000 "," $525,000 ", $-   ,4,3,0,11/15/2013
960 SHEPHERD ST NW,20011," $699,000 "," $700,000 "," $3,000 ",4,3,1,11/21/2013
232 GALLATIN ST NW,20011," $439,000 "," $434,000 "," $4,000 ",3,2,0,11/22/2013
1521 BUCHANAN ST NW,20011," $669,000 "," $715,000 ", $-   ,4,2,1,11/19/2013
4212 3RD ST NW,20011," $459,000 "," $450,000 ", $-   ,3,1,1,11/26/2013
113 INGRAHAM ST NW,20011," $429,000 "," $434,000 ", $-   ,3,2,1,11/18/2013
4616 NEW HAMPSHIRE AVE NW,20011," $299,900 "," $410,000 ", $-   ,3,1,2,11/5/2013
235 EMERSON ST NW #206,20011," $75,000 "," $68,000 ", $-   ,1,1,0,11/11/2013
328 SHEPHERD ST NW,20011," $420,000 "," $417,500 ", $-   ,4,2,0,11/22/2013
4305 BLAGDEN AVE NW,20011," $975,000 "," $950,000 "," $18,000 ",4,3,0,11/27/2013
1447 ROCK CREEK FORD RD NW,20011," $699,900 "," $680,000 ", $-   ,4,3,1,11/25/2013
904 CRITTENDEN ST NW,20011," $689,900 "," $675,000 "," $1,000 ",3,3,1,11/15/2013
4503 5TH ST NW,20011," $453,000 "," $452,000 ", $-   ,2,1,1,11/27/2013
429 RITTENHOUSE ST NW,20011," $389,900 "," $405,000 ", $-   ,4,3,0,11/22/2013
4314 2ND ST NW,20011," $449,500 "," $530,000 ", $-   ,3,2,2,11/26/2013
